"Income","Income Percentile","Income Tax with Bernie","Social Security Tax with Bernie","Medicare Tax with Bernie","Medicare-for-all Tax with Bernie","Family Leave Tax with Bernie","Healthcare Premiums with Bernie","Healthcare Expenses with Bernie","Total Tax with Bernie","Effective Tax Rate with Bernie","Income Tax at Present","Social Security Tax at Present","Medicare Tax at Present","Medicare-for-all Tax at Present","Family Leave Tax at Present","Healthcare Premiums at Present","Healthcare Expenses at Present","Total Tax at Present","Effective Tax Rate at Present"
292000,0.997615417578096,78249.65,18104,5062,6424,227.4,0,0,108067.05,0.370092636986301,76936.85,7347,5062,0,0,1071,1318,91734.85,0.314160445205479
294000,0.997651795092122,79019.25,18228,5109,6468,227.4,0,0,109051.65,0.370923979591837,77623.25,7347,5109,0,0,1071,1318,92468.25,0.314517857142857
296000,0.997688172606148,79788.85,18352,5156,6512,227.4,0,0,110036.25,0.371744087837838,78309.65,7347,5156,0,0,1071,1318,93201.65,0.314870439189189
298000,0.997724550120174,80528.85,18476,5203,6556,227.4,0,0,110991.25,0.372453859060403,78969.65,7347,5203,0,0,1071,1318,93908.65,0.315129697986577
3e+05,0.997760927634199,81298.45,18600,5250,6600,227.4,0,0,111975.85,0.373252833333333,79656.05,7347,5250,0,0,1071,1318,94642.05,0.3154735
302000,0.997797305148225,82068.05,18724,5297,6644,227.4,0,0,112960.45,0.374041225165563,80342.45,7347,5297,0,0,1071,1318,95375.45,0.315812748344371
304000,0.997833682662251,82837.65,18848,5344,6688,227.4,0,0,113945.05,0.374819243421053,81028.85,7347,5344,0,0,1071,1318,96108.85,0.316147532894737
306000,0.997870060176277,83607.25,18972,5391,6732,227.4,0,0,114929.65,0.375587091503268,81715.25,7347,5391,0,0,1071,1318,96842.25,0.316477941176471
308000,0.997906437690303,84347.25,19096,5438,6776,227.4,0,0,115884.65,0.376248863636364,82375.25,7347,5438,0,0,1071,1318,97549.25,0.316718344155844
310000,0.997942815204328,85116.85,19220,5485,6820,227.4,0,0,116869.25,0.376997580645161,83061.65,7347,5485,0,0,1071,1318,98282.65,0.317040806451613
312000,0.997979192718354,85886.45,19344,5532,6864,227.4,0,0,117853.85,0.377736698717949,83748.05,7347,5532,0,0,1071,1318,99016.05,0.317359134615385
314000,0.99801557023238,86656.05,19468,5579,6908,227.4,0,0,118838.45,0.378466401273885,84434.45,7347,5579,0,0,1071,1318,99749.45,0.317673407643312
316000,0.998051947746406,87425.65,19592,5626,6952,227.4,0,0,119823.05,0.379186867088608,85120.85,7347,5626,0,0,1071,1318,100482.85,0.317983702531646
318000,0.998088325260431,88165.65,19716,5673,6996,227.4,0,0,120778.05,0.379805188679245,85780.85,7347,5673,0,0,1071,1318,101189.85,0.318207075471698
